Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-IN-7808-01A-11R-2203-13	0.192483543	0.105277017	0.059300752	0.167473841	0	0.136538181	0	0.019057589	0.131697144	0	0	0.064501843	0	0.045381077	0.035857444	0.038068412	0.004363157	0	0	0	0	0	1.473587397
TCGA-BR-8297-01A-12R-2343-13	0.144669933	0.004895178	0.028026059	0.106612213	0	0.152812974	0.005643677	0.016088235	0.130895237	0	0	0.06292221	0.003620548	0.031077758	0.089156635	0.079202426	0.025887418	0.006048291	0.112441209	0	0	0	0.471631255
TCGA-B7-5818-01A-11R-1602-13	0.010011614	0	0	0.122409303	0	0.10710441	0.166408639	0.005351535	0.025664621	0	0	0.053260164	0.016255675	0.143032826	0.099314028	0.144582459	0.02624786	0	0.073128894	0	0	0.007227972	1.420510704
TCGA-BR-8683-01A-11R-2402-13	0.075940527	0	0	0.136062272	0	0.166791534	0.029446963	0.048310084	0.138477581	0	0.019252276	0	0	0.107639791	0.072535988	0.087483237	0.069623232	0.027347612	0.016387397	0.004701508	0	0	2.197508128
TCGA-BR-8366-01A-11R-2343-13	0.030120362	0	0.05039585	0.081288203	0	0.129932131	0.113710249	0.015167203	0.0234686	0.032411443	0	0.06353509	0	0.076302286	0.160614647	0.163427377	0.012643244	0	0.046983316	0	0	0	10.4284901
TCGA-BR-8291-01A-11R-2343-13	0.023135128	0	0.005903373	0.178772565	0	0.101574774	0.034208264	0	0.073938453	0	0	0.033713203	0.012236118	0.024981452	0.018413232	0.296127268	0.062069453	0	0.131980092	0	0.002946626	0	0.471315072
TCGA-VQ-A91X-01A-12R-A414-31	0.139381889	0	0.210735547	0.071014167	0	0.20489504	0	0.06006071	0.072323594	0	0	0.010207486	0	0.088693128	0.033798419	0.040747126	0.06116562	0.000938661	0.006038612	0	0	0	0.163764233
TCGA-BR-4367-01A-01R-1157-13	0.001299297	0.009544873	0	0	0	0.210808016	0.082478057	0	0.007409806	0.034274679	0	0.009511461	0	0.22833222	0.1264676	0.211607163	0.000587265	0	0	0.023605757	0.015546578	0.038527229	2.150672825
TCGA-D7-6522-01A-11R-1802-13	0.040397058	0.046314824	0.015667591	0.150194085	0	0.056973576	0.04448119	0.009873839	0.135770417	0	0	0.024204568	0.002043984	0.123084911	0.060471322	0.184128825	0.04761593	0	0.051829302	0	0.002606221	0.004342358	1.36475238
TCGA-BR-8682-01A-11R-2402-13	0.001982101	0.034489764	0	0	0	0.197063807	0	0	0.066221139	0	0	0.051120539	0	0.4089712	0.028059014	0.135337814	0.000105841	0	0.076648782	0	0	0	0.748289928
TCGA-CG-4436-01A-01R-1157-13	0.070180536	0	0.007958814	0	0	0.171573202	0.13249975	0.001863491	0	0.021036437	0.000944308	0	0	0.153139625	0.059519615	0.086361644	0	0	0	0.129376663	0.022581839	0.142964074	3.287810024
TCGA-BR-7901-01A-11R-2203-13	0.054842903	0	0.013516405	0.078762698	0	0.116061564	0	0.009719195	0.080953716	0	0	0.018800378	0	0.339511646	0.107334733	0.125468095	0.003387653	0	0	0.047712131	0	0.003928884	1.246559463
TCGA-BR-6707-01A-11R-1884-13	0.014663902	0	0.029898244	0.34154454	0	0.018451238	0.118115646	0.026417093	0.07385549	0.008848931	0	0.018466215	0.000507087	0.150835261	0.087441351	0.084273237	0.008590361	0	0.018091406	0	0	0	2.3287401
TCGA-HU-A4H5-01A-21R-A251-31	0.036618699	0	0.191842816	0.096051356	0	0	0.004761443	0.001680265	0.067386258	0.003238868	0.042565218	0	0	0.341434759	0.024215956	0.091677955	0	0	0	0.067028547	0	0.03149786	0.599594655
TCGA-BR-8679-01A-11R-2402-13	0.000795105	0.007804302	0	0	0	0.248439685	0	0.03903179	0.053547161	0	0	0.09941302	0.038849141	0.162030687	0.067232223	0.200648007	0.008100773	0	0.061877211	0	0.012230895	0	1.000808173
TCGA-FP-A4BF-01A-12R-A36D-31	0.013478531	0	0.065196522	0.168605372	0	0.159559251	0.114656862	0.030330571	0	0	0	0.086425219	0.003639365	0.07314107	0.068948052	0.120149028	0.029341564	0.003884323	0.062644273	0	0	0	2.092010395
TCGA-CD-5798-01A-11R-1602-13	0.000518412	0	0.002008701	0.110941935	0	0.235937332	0	0	0.058905719	0	0	0.050225791	0.052632752	0.054038633	0.039045242	0.260982085	0.049339565	0.022362394	0.022354786	0.038146405	0	0.002560248	0.637009317
TCGA-VQ-A8E2-01A-11R-A36D-31	0.093896721	0	0.008192918	0.119573226	0	0.197638707	0.06200957	0.093746839	0.03093604	0	0.015938481	0.006699145	0	0.285770066	0.049039721	0.031693189	0	0	0.004865377	0	0	0	0.912551616
