"","log2FC","t","B","PValue","FDR"
"APOB",-2.21980426092433,-3.81571995622081,-0.0185335967972158,0.000190928186953538,0.00202429510111141
"C11orf86",-2.10467504186664,-3.80376804707082,-0.0602877683941738,0.00019960666150133,0.00209920389323516
"SLC13A2",-2.21546382067579,-3.78977177227585,-0.109044191932904,0.000210244891624366,0.00218634525285882
"MAGEA10",-2.41038847185804,-3.77141955844471,-0.172745724524402,0.000225009710979134,0.00230173899490613
"WFDC10A",-2.02995656760372,-3.74876534606709,-0.251020616914666,0.000244591349536352,0.00246472821455862
"ATOH1",-2.17448095783501,-3.72557435645778,-0.330738007058049,0.000266300931424261,0.00263698344481486
"LYPD8",-2.07990043053854,-3.72431150954384,-0.335066957147547,0.000267533954518981,0.00264003804765217
"CT45A10",-2.21273710226406,-3.69507748262963,-0.434931961929913,0.000297633005829833,0.0028632324498731
"AC243967.1",-2.14892190349807,-3.6743187545347,-0.505439857173388,0.000320919312560632,0.00304374347029688
"TINAG",-2.06773740571604,-3.66005889054179,-0.553678644637476,0.0003379011638235,0.00318161737417795
"MAGEA11",-2.27724654248313,-3.63986239036452,-0.621727083061006,0.000363409369636751,0.00336566629187381
"MAGEA6",-3.31384166909199,-3.62219579046218,-0.680988458512675,0.000387201579682005,0.00354492853368342
"KRTAP4-1",-2.26761871596704,-3.60562509627563,-0.736350088604826,0.000410846287498393,0.00373097726021016
"SCGB2A1",-2.0872106690311,-3.58726832175652,-0.797425627553999,0.000438625624068686,0.00394047528341585
