"","log2FC","t","B","PValue","FDR"
"GDPD2",-1.3927029305024,-4.49480908023281,2.52863203959905,1.29671541560656e-05,0.000206954932111401
"UBXN10",-1.33233065184899,-4.48480163107256,2.48868394945999,1.35220590893066e-05,0.000215107637623615
"A1CF",-1.89452063361195,-4.48400728927613,2.48551605359846,1.35670705899126e-05,0.000215647924140476
"TTR",-2.54100138677817,-4.47233536169755,2.43901820810341,1.42453215117612e-05,0.000224744698574243
"CACNG4",-2.16353367981475,-4.47218080470956,2.43840313155967,1.42545179996369e-05,0.000224744698574243
"FEZF1",-2.13794845557202,-4.47040554423818,2.43133948239833,1.43605604829576e-05,0.000226051435537782
"MCOLN3",-1.33184111321456,-4.46331965529729,2.40316709513358,1.47914362605541e-05,0.000232085244670222
"PCLO",-2.00498718885508,-4.45896347386192,2.38586500866297,1.50624700343377e-05,0.000235580410737371
"GUCA2A",-2.9561223709387,-4.45753949403461,2.38021205551255,1.5152099019307e-05,0.000236410395057527
"CFAP65",-1.26116341917713,-4.45623788388742,2.37504612927449,1.52344743817534e-05,0.000237319796853507
"TM6SF2",-1.54890632050068,-4.44945604322355,2.34814903886257,1.56706961218291e-05,0.000243338359269676
"SYT7",-1.68398801825297,-4.44590532726036,2.33407957960862,1.59038520079952e-05,0.000246566550710133
"MSI1",-1.55578265225939,-4.43674342092609,2.29781699101301,1.65209771069901e-05,0.000255323002495123
"CD200R1L",-1.90270128446039,-4.43344639529224,2.28478185481514,1.67486411215178e-05,0.000258550062050533
"RGN",-1.45877887048011,-4.43140614435802,2.27671933090788,1.68910309086578e-05,0.000259807748074146
"CKMT1B",-1.0464687174195,-4.42542022058495,2.2530814394418,1.73155391366947e-05,0.000265292000321149
"TCP10",-1.70148226098053,-4.42363074669743,2.24601985175081,1.74444235442241e-05,0.00026684772974899
"GSTA2",-2.44747865775452,-4.42289343756421,2.24311095140884,1.74977950729707e-05,0.00026742205846535
"UGT1A3",-1.59207649933623,-4.42273382091762,2.24248126734973,1.75093698815881e-05,0.00026742205846535
"CDX1",-2.51633375623948,-4.41764282945128,2.22240682179641,1.78824353846115e-05,0.000272480293733202
"C3orf70",-1.08823513973183,-4.41706450940444,2.22012758355656,1.7925294539251e-05,0.000272920299619064
"SI",-2.79255144463563,-4.40720527127282,2.1813072104418,1.86713295344251e-05,0.00028273520650306
"SLC6A19",-2.654377948463,-4.40509596627304,2.17301079654729,1.88347685506468e-05,0.000284768278342429
"IHH",-1.67032242889901,-4.40014471583903,2.15354864093892,1.92238342897506e-05,0.000289752912356481
"SSUH2",-1.15901780617119,-4.39135727634005,2.11904996827935,1.99334391134566e-05,0.0002989063230473
"CAPN9",-1.66842598951726,-4.39129790285402,2.11881705897741,1.99383181826725e-05,0.0002989063230473
"MLIP",-1.21759205694001,-4.38438811339467,2.09172847442137,2.05140412821701e-05,0.000305659215104335
"RNF186",-1.75728864807555,-4.38288194885534,2.08582830984533,2.06416379252189e-05,0.000306857677579853
"PCK1",-2.27177430358244,-4.36948718471388,2.0334270668113,2.18104313106883e-05,0.000322513491479792
"KLK1",-1.57257254761289,-4.36876492760419,2.03060515937759,2.18752269479612e-05,0.000322982265353445
"TNFRSF11B",-1.30395588578669,-4.36194786679418,2.00398866951367,2.24959800273571e-05,0.000329838834958804
"NMU",-1.58485969010959,-4.35138581483804,1.96281542210991,2.34912734699483e-05,0.000342951508496575
"RDH8",-2.17247353973792,-4.34848504038642,1.95152143068059,2.3771937874295e-05,0.000346013762392516
"CKMT1A",-1.13128055052933,-4.3427221758578,1.92910182314582,2.43391038692823e-05,0.000353215589906708
"CFAP300",-1.04215870197455,-4.33652817751908,1.90503131543418,2.4963177949096e-05,0.000360396649695566
"ENTPD3",-1.34290153517216,-4.33233901029431,1.88876728259127,2.53939313113453e-05,0.000365803797244391
"APOA4",-3.20553991992438,-4.33193407078969,1.88719580766374,2.54359454816265e-05,0.000366138805203442
"LUZP2",-1.4079282682938,-4.32890647669662,1.87545013353975,2.57521917771462e-05,0.00036987272354534
"TMEM61",-1.81203726453995,-4.32475593045668,1.85935854995244,2.61918731278116e-05,0.00037426000847859
"TPD52L1",-1.31367120138378,-4.31131971224322,1.80735099497219,2.76651623707138e-05,0.00039223546168177
"PLPPR1",-1.746528075362,-4.2913699678788,1.73036986277279,3.00001811434518e-05,0.000420368654514742
"BTNL8",-1.7700734026334,-4.28617072215057,1.71035413724576,3.06390994863261e-05,0.000428398698333524
"UGT1A5",-1.68294573148561,-4.28383250626672,1.701358949894,3.09306695171271e-05,0.000432165882823768
"FAM47E-STBD1",-1.36884443832512,-4.28010939536937,1.68704413608552,3.14004302681951e-05,0.0004380458872871
"LHFPL5",-1.40919629010472,-4.27949943798863,1.68469988941535,3.14780403564793e-05,0.000438558079741699
"LRRC9",-1.33919665358385,-4.2693571408042,1.64575925702233,3.27957991944869e-05,0.000455250448158549
"HS6ST3",-1.5498155151297,-4.26671292633778,1.63561914938704,3.31479486512018e-05,0.00045887575157646
"GPR156",-1.15725313579185,-4.26455221682125,1.62733693888638,3.343839405832e-05,0.000462568400867716
"MYOM3",-1.36973278060748,-4.25920177415571,1.60684264991158,3.41681425862306e-05,0.000471660519901439
"OTOP3",-2.40733730338984,-4.25534663174955,1.59208874026351,3.47033804208799e-05,0.000477150435780577
"CYP4F2",-1.78870454580645,-4.25255604511183,1.58141565271678,3.50958208835721e-05,0.000481064134709581
"ENTPD8",-1.74516078295583,-4.24697533465113,1.5600881107024,3.58934292144641e-05,0.00049096275041144
"SLC38A4",-1.41483951773499,-4.23917837314279,1.53032850490692,3.70369217949816e-05,0.000504130876231691
"CCN3",-1.01378936914099,-4.23737030808484,1.52343372274823,3.73070315034424e-05,0.000507100242281123
"TSPAN7",-1.03088238874174,-4.2231481811533,1.46928231592698,3.94984801070395e-05,0.000533913319397025
"SLC7A4",-1.87737241988193,-4.21821490004624,1.4505328598087,4.02870334711782e-05,0.000542693310092427
"SLC26A3",-2.47400325431527,-4.2053148589858,1.40158837902782,4.24208991440929e-05,0.000569081464188006
"UGT1A6",-2.02398490766558,-4.20463221791156,1.39900171557661,4.25367811858014e-05,0.000570145590386369
"GYG2",-1.09510682439335,-4.2002095202813,1.3822514396597,4.3294931619682e-05,0.000578817650879845
"EVX1",-2.1366462494108,-4.19628454455197,1.3673981252376,4.39785783277446e-05,0.000587153126114397
