SampleID,ImmuneScore,PDL1,T.cells.CD8,StromalScore,ESTIMATEScore,TMB,Group
TCGA-BR-8380-01A-11R-2343-13,676.1211049,0.394819154,0.117362293,915.8515858,1591.972691,1.578947368,IV
TCGA-CG-5717-01A-11R-1602-13,1466.64693,3.101209036,0.117908795,-121.7337175,1344.913212,2.421052632,I
TCGA-CG-5724-01A-11R-1602-13,1078.082821,1.534895861,0.118056788,82.46208455,1160.544906,2.263157895,I
TCGA-CD-A48C-01A-11R-A24K-31,751.1362071,0.759329611,0.119442075,188.4405446,939.5767517,4.736842105,IV
TCGA-VQ-A8E2-01A-11R-A36D-31,272.5841869,0.912551616,0.119573226,308.9946106,581.5787976,2.657894737,IV
TCGA-HU-A4GJ-01A-11R-A251-31,3117.406176,1.403038269,0.120966349,272.4946726,3389.900848,0.052631579,I
TCGA-FP-8211-01A-11R-2343-13,920.3882928,0.932297799,0.122019243,-850.0983079,70.28998485,2.552631579,IV
TCGA-BR-8364-01A-11R-2343-13,1543.029513,0.592362269,0.122137113,1591.634055,3134.663569,0.394736842,IV
TCGA-VQ-A8P5-01A-11R-A39E-31,747.9696554,1.06521099,0.123245616,124.8011361,872.7707915,4.552631579,IV
TCGA-D7-A6EY-01A-21R-A31P-31,2067.566566,4.733130166,0.123950921,311.8620512,2379.428617,32.34210526,I
TCGA-D7-5578-01A-01R-1602-13,1467.507278,1.15269793,0.124810064,454.7918924,1922.29917,4.789473684,I
TCGA-D7-6822-01A-11R-1884-13,417.124904,2.116407133,0.125918632,-479.5243828,-62.39947876,5.684210526,I
TCGA-BR-8296-01A-11R-2343-13,1888.397179,0.930230507,0.126622594,130.9064664,2019.303646,1.684210526,IV
TCGA-VQ-A91E-01A-31R-A414-31,981.8242242,1.340895761,0.126911913,-1257.850538,-276.0263134,18.05263158,I
TCGA-IN-A6RS-01A-12R-A354-31,1277.12659,1.035760091,0.127525701,-509.7700774,767.3565126,2.105263158,IV
TCGA-BR-6565-01A-11R-1802-13,1495.563857,2.07177789,0.130572795,533.9046662,2029.468523,3.184210526,I
TCGA-IN-8663-01A-11R-2402-13,-101.9926434,12.5391219,0.131695054,-834.1253018,-936.1179452,3.421052632,I
TCGA-MX-A5UJ-01A-11R-A31P-31,707.4534051,1.131329872,0.131734358,353.0071097,1060.460515,32.36842105,I
TCGA-IN-AB1V-01A-21R-A414-31,148.8949478,1.050273417,0.132458794,-1401.621033,-1252.726085,1.052631579,IV
TCGA-BR-7716-01A-21R-2055-13,1815.930842,1.554864047,0.133591112,314.9757541,2130.906596,3.578947368,I
TCGA-CD-A489-01A-11R-A24K-31,1307.056051,1.041171714,0.133962609,782.4004056,2089.456457,1.684210526,IV
TCGA-BR-7723-01A-11R-2055-13,898.5876932,1.145115472,0.134099014,60.18277565,958.7704689,3.289473684,I
TCGA-ZQ-A9CR-01A-11R-A39E-31,1436.212304,2.283986188,0.134717289,929.3236095,2365.535913,2.342105263,I
TCGA-VQ-A94P-01A-13R-A414-31,1335.241133,0.920356291,0.135223468,1272.216968,2607.458101,1.552631579,IV
TCGA-BR-8683-01A-11R-2402-13,773.6189063,2.197508128,0.136062272,579.6120492,1353.230955,3.368421053,I
TCGA-BR-8081-01A-11R-2343-13,2285.510643,5.338367488,0.138899283,1036.223534,3321.734177,20.73684211,I
TCGA-BR-8678-01A-11R-2402-13,6.578757095,4.11691827,0.142900249,-286.2933838,-279.7146267,2.605263158,I
TCGA-BR-6453-01A-11R-1802-13,2668.918487,0.677559897,0.14346434,963.3062196,3632.224707,4.026315789,IV
TCGA-D7-8578-01A-21R-2343-13,863.0597934,1.053742982,0.144915174,881.9189981,1744.978791,1.289473684,IV
TCGA-SW-A7EB-01A-11R-A354-31,1033.810146,0.583990761,0.144953008,-565.5141509,468.2959949,3.157894737,IV
TCGA-RD-A8N4-01A-21R-A36D-31,1170.281924,0.96346328,0.145391197,747.1148292,1917.396753,0.052631579,IV
TCGA-BR-8080-01A-11R-2343-13,1784.325967,1.387079641,0.14759291,1404.659183,3188.98515,4.026315789,I
TCGA-FP-7735-01A-11R-2055-13,1220.732378,0.390700138,0.14869501,-25.05560368,1195.676775,1.052631579,IV
TCGA-D7-6522-01A-11R-1802-13,2984.695854,1.36475238,0.150194085,1885.032707,4869.728561,0.894736842,I
TCGA-D7-6521-01A-11R-1802-13,1846.09011,0.802854361,0.150444908,1128.135626,2974.225736,1.684210526,IV
TCGA-BR-8368-01A-11R-2343-13,669.385075,0.901408706,0.150509594,-888.3104834,-218.9254084,22.5,IV
TCGA-HF-7132-01A-11R-2055-13,1882.965819,2.021403765,0.154481788,364.0943277,2247.060147,28.23684211,I
TCGA-BR-7196-01A-11R-2055-13,1828.540809,1.396832324,0.157731616,1277.637,3106.177809,1.447368421,I
TCGA-RD-A8N1-01A-12R-A36D-31,2399.346298,2.022941789,0.158513971,531.7955369,2931.141835,2.526315789,I
TCGA-BR-6457-01A-21R-1802-13,1585.029144,0.475194649,0.158935562,1466.112785,3051.141929,2.315789474,IV
TCGA-BR-8680-01A-11R-2402-13,-660.4260833,0.221455395,0.159480694,-1059.957593,-1720.383676,133.2631579,IV
TCGA-F1-A72C-01A-21R-A33Y-31,1167.964815,0.957200905,0.159622313,411.1559425,1579.120757,1.026315789,IV
TCGA-CG-4437-01A-01R-1802-13,1866.703954,2.350150957,0.159732334,565.9653804,2432.669334,12.52631579,I
TCGA-CD-8525-01A-11R-2343-13,1475.52212,0.665760765,0.160387337,230.7400206,1706.262141,1.763157895,IV
TCGA-HU-A4GC-01A-12R-A251-31,583.1138176,0.541981934,0.160638122,-133.4352126,449.6786049,3.184210526,IV
TCGA-BR-6458-01A-11R-1802-13,1748.122874,1.506846113,0.161755134,869.3401545,2617.463028,6.447368421,I
TCGA-VQ-A923-01A-11R-A414-31,2241.543913,3.131006494,0.163373685,38.51744512,2280.061358,2.078947368,I
TCGA-D7-8574-01A-13R-2343-13,2722.199869,1.031724303,0.163971259,1548.499186,4270.699055,0.657894737,IV
TCGA-IN-A7NR-01A-11R-A354-31,1067.507038,0.579218954,0.164551839,-416.8627276,650.6443101,1.947368421,IV
TCGA-HU-8608-01A-11R-2402-13,2553.31077,161.1671854,0.166854133,390.8103142,2944.121085,2.078947368,I
TCGA-FP-7916-01A-11R-2203-13,2289.624686,3.193080273,0.167739331,957.284775,3246.909461,2.131578947,I
